# Sample Arrhenius data for activation energy determination
# Experiment: First-order decomposition reaction
# Generated from Eyring equation (k = kB*T/h * exp(dS/R) * exp(-dH/RT))
# with dH = 68 kJ/mol, dS = -125 J/(mol K), and 0.5% Gaussian noise
#
# Columns:
#   temperature_K: Reaction temperature in Kelvin
#   rate_constant_per_s: First-order rate constant k in s^-1
#   rate_constant_uncertainty: Standard deviation of k
#   inverse_T_per_K: 1/T for convenience in plotting
#   ln_k: Natural logarithm of k
#
temperature_K,rate_constant_per_s,rate_constant_uncertainty,inverse_T_per_K,ln_k
350,1.53e-04,7.6e-07,0.002857,-8.788
375,7.79e-04,3.9e-06,0.002667,-7.158
400,3.24e-03,1.6e-05,0.002500,-5.732
425,1.15e-02,5.7e-05,0.002353,-4.466
450,3.53e-02,1.8e-04,0.002222,-3.343
475,9.75e-02,4.9e-04,0.002105,-2.328
500,2.42e-01,1.2e-03,0.002000,-1.420
525,5.57e-01,2.8e-03,0.001905,-0.585
550,1.17e+00,5.9e-03,0.001818,0.159
575,2.37e+00,1.2e-02,0.001739,0.862
600,4.44e+00,2.2e-02,0.001667,1.490
